Label,Source,Sentence,
Creating an ecosystem of partners,Accenture-Reaching net zero by 2050,The challenge is too immense for companies to do it alone.,
Creating an ecosystem of partners,Accenture-Reaching net zero by 2050,"Even with accelerated action—doubling the pace of emissions reduction by 2030 and then doubling it again by 2040 —just 42% of all of the companies in our sample and across sectors would reach their own net zero targets, and 83% before 2050.",
Creating an ecosystem of partners,Accenture-Reaching net zero by 2050,The growing commitment of European businesses to address emissions in their value chain (scope 3) will be a critical step to get more companies and industries to reach net zero before 2050.,
Creating an ecosystem of partners,Accenture-Reaching net zero by 2050,Companies can accelerate the creation and adoption of zero-carbon technologies and strategies by removing the boundaries that exist between industry sectors and developing an ecosystem of partners to create new technologies and innovative strategies to get to net zero.,
Creating an ecosystem of partners,Accenture-Reaching net zero by 2050,Large companies in particular have a major role to play in the collaborative ecosystems essential for the rapid application of net zero technologies and processes.,
Creating an ecosystem of partners,Accenture-Reaching net zero by 2050,Building bridges between industries to bring low-carbon solutions to maturity and scale: Steel producers and petrochemical companies working together to scale green hydrogen production for low-carbon steel manufacturing can help automotive companies accelerate the pace of emissions reduction.,
Creating an ecosystem of partners,Accenture-Reaching net zero by 2050,Shaping the markets for net zero solutions: A commitment from the automotive sector in increasing the availability and affordability of electric vehicles will help fleet electrification and decarbonization in the transport sector.,
Decisive action to get to net zero,Accenture-Reaching net zero by 2050,"By establishing an explicit zero-carbon strategy and using carbon intelligence to get there, the European business community can realize its goal by 2050.",
Decisive action to get to net zero,Accenture-Reaching net zero by 2050,"Execution at speed, purposeful industry collaboration and a step-change in technology development and innovation are also essential to reach their objective.",
Decisive action to get to net zero,Accenture-Reaching net zero by 2050,We've identified three key steps to help companies on their net zero journey:,
Decisive action to get to net zero,Accenture-Reaching net zero by 2050,Commit to a science-based target.,
Decisive action to get to net zero,Accenture-Reaching net zero by 2050,Research shows that targets do work.,
Decisive action to get to net zero,Accenture-Reaching net zero by 2050,"Companies in our sample with net-zero targets reduced their Scope 1 and Scope 2 emissions between 2010 and 2019, while those without increased their emissions.",
Decisive action to get to net zero,Accenture-Reaching net zero by 2050,"Embed carbon intelligence into the very fabric of the company to better manage the company's carbon budget, by employing the same discipline used for financial budgets.",
Decisive action to get to net zero,Accenture-Reaching net zero by 2050,Leverage influence to mobilize industry and value chain.,
Decisive action to get to net zero,Accenture-Reaching net zero by 2050,Large companies can drive greenhouse gas emissions reductions far greater than their own footprint through concerted action on their Scope 3 emissions—engaging suppliers and making changes in product design and adopting circular business models.,
Decisive action to get to net zero,Accenture-Reaching net zero by 2050,It will take reinvention of business itself to ensure a commitment to the planet and create transformative change that will last for generations to come.,
Microsoft will be carbon negative by 2030,Microsoft will be carbon negative by 2030,"Microsoft President Brad Smith, Chief Financial Officer Amy Hood and CEO Satya Nadella preparing to announce Microsoft's plan to be carbon negative by 2030.",
Microsoft will be carbon negative by 2031,Microsoft will be carbon negative by 2031,The scientific consensus is clear.,
Microsoft will be carbon negative by 2032,Microsoft will be carbon negative by 2032,The world confronts an urgent carbon problem.,
Microsoft will be carbon negative by 2033,Microsoft will be carbon negative by 2033,The carbon in our atmosphere has created a blanket of gas that traps heat and is changing the world's climate.,
Microsoft will be carbon negative by 2034,Microsoft will be carbon negative by 2034,"Already, the planet's temperature has risen by 1 degree centigrade.",
Microsoft will be carbon negative by 2035,Microsoft will be carbon negative by 2035,"If we don't curb emissions, and temperatures continue to climb, science tells us that the results will be catastrophic.",
Microsoft will be carbon negative by 2036,Microsoft will be carbon negative by 2036,"As the scientific community has concluded, human activity has released more than 2 trillion metric tons of greenhouse gases into the Earth's atmosphere since the start of the First Industrial Revolution in the mid-1700s.",
Microsoft will be carbon negative by 2037,Microsoft will be carbon negative by 2037,"Over three-quarters of this is carbon dioxide, with most of this carbon emitted since the mid-1950s.",
Microsoft will be carbon negative by 2038,Microsoft will be carbon negative by 2038,"This is more carbon than nature can re-absorb, and every year humanity pumps more than 50 billion metric tons of additional greenhouse gases into the air.",
Microsoft will be carbon negative by 2039,Microsoft will be carbon negative by 2039,This isn't a problem that lasts a few years or even a decade.,
Microsoft will be carbon negative by 2040,Microsoft will be carbon negative by 2040,Once excess carbon enters the atmosphere it can take thousands of years to dissipate.,
Microsoft will be carbon negative by 2041,Microsoft will be carbon negative by 2041,The world's climate experts agree that the world must take urgent action to bring down emissions.,
Microsoft will be carbon negative by 2042,Microsoft will be carbon negative by 2042,"Ultimately, we must reach ""net zero"" emissions, meaning that humanity must remove as much carbon as it emits each year.",
Microsoft will be carbon negative by 2043,Microsoft will be carbon negative by 2043,"This will take aggressive approaches, new technology that doesn't exist today, and innovative public policy.",
Microsoft will be carbon negative by 2044,Microsoft will be carbon negative by 2044,"It is an ambitious – even audacious – goal, but science tells us that it's a goal of fundamental importance to every person alive today and for every generation to follow.",
Microsoft: Carbon negative by 2030,Microsoft will be carbon negative by 2045,"While the world will need to reach net zero, those of us who can afford to move faster and go further should do so.",
Microsoft: Carbon negative by 2031,Microsoft will be carbon negative by 2046,That's why today we are announcing an ambitious goal and a new plan to reduce and ultimately remove Microsoft's carbon footprint.,
Microsoft: Carbon negative by 2032,Microsoft will be carbon negative by 2047,"By 2030 Microsoft will be carbon negative, and by 2050 Microsoft will remove from the environment all the carbon the company has emitted either directly or by electrical consumption since it was founded in 1975.",
Microsoft: Carbon negative by 2033,Microsoft will be carbon negative by 2048,We recognize that progress requires not just a bold goal but a detailed plan.,
Microsoft: Carbon negative by 2034,Microsoft will be carbon negative by 2049,"As described below, we are launching today an aggressive program to cut our carbon emissions by more than half by 2030, both for our direct emissions and for our entire supply and value chain.",
Microsoft: Carbon negative by 2035,Microsoft will be carbon negative by 2050,"We will fund this in part by expanding our internal carbon fee, in place since 2012 and increased last year, to start charging not only our direct emissions, but those from our supply and value chains.",
Microsoft: Carbon negative by 2036,Microsoft will be carbon negative by 2051,"We are also launching an initiative to use Microsoft technology to help our suppliers and customers around the world reduce their own carbon footprints and a new $1 billion climate innovation fund to accelerate the global development of carbon reduction, capture, and removal technologies.",
Microsoft: Carbon negative by 2037,Microsoft will be carbon negative by 2052,"Beginning next year, we will also make carbon reduction an explicit aspect of our procurement processes for our supply chain.",
Microsoft: Carbon negative by 2038,Microsoft will be carbon negative by 2053,Our progress on all of these fronts will be published in a new annual Environmental Sustainability Report that will detail our carbon impact and reduction journey.,
Microsoft: Carbon negative by 2039,Microsoft will be carbon negative by 2054,"And lastly, all this work will be supported by our voice and advocacy supporting public policy that will accelerate carbon reduction and removal opportunities.",
Taking a principled approach,Microsoft will be carbon negative by 2055,"Whenever we take on a new and complex societal issue, we strive first to learn and then to define a principled approach to guide our efforts.",
Taking a principled approach,Microsoft will be carbon negative by 2056,"This has been fundamental to our work around the protection of privacy and the ethical development of artificial intelligence, and it's the approach we're taking to pursue our aggressive carbon goals as well.",
Taking a principled approach,Microsoft will be carbon negative by 2057,"We've concluded that seven principles, or elements, will be vital as we continually innovate and take additional steps on an ongoing basis.",
Taking a principled approach,Microsoft will be carbon negative by 2058,Grounding in science and math.,
Taking a principled approach,Microsoft will be carbon negative by 2059,"We will continually ground our work in the best available science and most accurate math, as we describe further below.",
Taking a principled approach,Microsoft will be carbon negative by 2060,Taking responsibility for our carbon footprint.,
Taking a principled approach,Microsoft will be carbon negative by 2061,"We will take responsibility for all our emissions, so by 2030 we can cut them by more than half and remove more carbon than we emit each year.",
Taking a principled approach,Microsoft will be carbon negative by 2062,Investing for new carbon reduction and removal technology.,
Taking a principled approach,Microsoft will be carbon negative by 2063,We will deploy $1 billion of our own capital in a new Climate Innovation Fund to accelerate the development of carbon reduction and removal technologies that will help us and the world become carbon negative.,
Taking a principled approach,Microsoft will be carbon negative by 2064,Empowering customers around the world.,
Taking a principled approach,Microsoft will be carbon negative by 2065,"Perhaps most importantly, we will develop and deploy digital technology to help our suppliers and customers reduce their carbon footprints.",
Taking a principled approach,Microsoft will be carbon negative by 2066,Ensuring effective transparency.,
Taking a principled approach,Microsoft will be carbon negative by 2067,"We will publish an annual Environmental Sustainability Report that provides transparency on our progress, based on strong global reporting standards.",
Taking a principled approach,Microsoft will be carbon negative by 2068,Using our voice on carbon-related public policy issues.,
Taking a principled approach,Microsoft will be carbon negative by 2069,We will support new public policy initiatives to accelerate carbon reduction and removal opportunities.,
Taking a principled approach,Microsoft will be carbon negative by 2070,Enlisting our employees.,
Taking a principled approach,Microsoft will be carbon negative by 2071,"We recognize that our employees will be our biggest asset in advancing innovation, and we will create new opportunities to enable them to contribute to our efforts.",
Grounding in science and math,Microsoft will be carbon negative by 2072,It's vital that our work as a company to address carbon issues stay grounded in ongoing scientific advances and an accurate reliance on the basic but fundamental mathematical concepts involved.,
Grounding in science and math,Microsoft will be carbon negative by 2073,And this is true for all of us as individual consumers and the business community more broadly.,
Grounding in science and math,Microsoft will be carbon negative by 2074,"In some respects, the situation is straightforward.",
Grounding in science and math,Microsoft will be carbon negative by 2075,"As shown in the graph below, advances in human prosperity, as measured by GDP growth, are inextricably tied to the use of energy.",
Grounding in science and math,Microsoft will be carbon negative by 2076,This is true for the future as well as the past.,
Grounding in science and math,Microsoft will be carbon negative by 2077,"If we're going to continue to create more economic opportunity and prosperity, it likely will require even more energy use.",
Grounding in science and math,Microsoft will be carbon negative by 2078,"This is true everywhere in the world, and it's perhaps especially true among the world's developing economies, which deserve the opportunity to catch up with the level of prosperity in more industrialized nations.",
Grounding in science and math,Microsoft will be carbon negative by 2079,"For more than two centuries and especially since the 1950s, economic development has required an ever-increasing amount of carbon emissions.",
Grounding in science and math,Microsoft will be carbon negative by 2080,"This is the part of the past that we need to change. In short, we need to use more energy while reducing our emission of carbon.",
Grounding in science and math,Microsoft will be carbon negative by 2081,The importance of this issue is underscored by the advances in scientific research during the past few years.,
Grounding in science and math,Microsoft will be carbon negative by 2082,These findings make clear both that the average temperature on the planet has risen by 1 degree Celsius during the past 50 years and that carbon dioxide emissions have been a primary driver of this and this temperature increase.,
Grounding in science and math,Microsoft will be carbon negative by 2083,"Indeed, if we fail to change substantially and quickly, there is a high risk that average temperatures will increase between another one and four degrees Celsius by the end of this century.",
Grounding in science and math,Microsoft will be carbon negative by 2084,And the impact of such a temperature increase would be catastrophic.,
Grounding in science and math,Microsoft will be carbon negative by 2085,A big part of the challenge is that as a society we have not committed sufficiently to reduce emissions.,
Grounding in science and math,Microsoft will be carbon negative by 2086,"One conclusion we've reached is that we all need to learn – and get real – about ""carbon math.",
Grounding in science and math,Microsoft will be carbon negative by 2087,"This is the basic mathematical concepts that are important to understanding how the carbon issue applies to each of us, whether as individuals, families, businesses, or other organizations.",
Grounding in science and math,Microsoft will be carbon negative by 2088,One aspect of this is relatively simple but quite important.,
Grounding in science and math,Microsoft will be carbon negative by 2089,"Scientists account for carbon emissions by classifying them into three categories, or ""scopes.",
Grounding in science and math,Microsoft will be carbon negative by 2090,"Scope 1 emissions are the direct emissions that your activities create — like the exhaust from the car you drive, or for a business, the trucks it drives to transport its products from one place to another or the generators it might run.",
Grounding in science and math,Microsoft will be carbon negative by 2091,"Scope 2 emissions are indirect emissions that come from the production of the electricity or heat you use, like the traditional energy sources that light up your home or power the buildings owned by a business.",
Grounding in science and math,Microsoft will be carbon negative by 2092,"Scope 3 emissions are the indirect emissions that come from all the other activities in which you're engaged, including the emissions associated with producing the food you eat, or manufacturing the products that you buy.",
Grounding in science and math,Microsoft will be carbon negative by 2093,"For a business, these emission sources can be extensive, and must be accounted for across its entire supply chain, the materials in its buildings, the business travel of its employees, and the full life cycle of its products, including the electricity customers may consume when using the product.",
Grounding in science and math,Microsoft will be carbon negative by 2094,"Given this broad range, a company's scope 3 emissions are often far larger than its scope 1 and 2 emissions put together.",
Grounding in science and math,Microsoft will be carbon negative by 2095,This makes clear that we need to measure all three of these scopes.,
Grounding in science and math,Microsoft will be carbon negative by 2096,"At Microsoft, we expect to emit 16 million metric tons of carbon this year.",
Grounding in science and math,Microsoft will be carbon negative by 2097,"Of this total, about 100,000 are scope 1 emissions and about 4 million are scope 2 emissions.",
Grounding in science and math,Microsoft will be carbon negative by 2098,The remaining 12 million tons all fall into scope 3.,
Grounding in science and math,Microsoft will be carbon negative by 2099,"Given the wide range of scope 3 activities, this higher percentage of the total is probably typical for most organizations.",
Grounding in science and math,Microsoft will be carbon negative by 2100,There's another aspect of carbon math that's also essential.,
Grounding in science and math,Microsoft will be carbon negative by 2101,"This is the difference between being ""carbon neutral"" and being ""net zero.",
Grounding in science and math,Microsoft will be carbon negative by 2102,"While they sound similar, in fact they're different.",
Grounding in science and math,Microsoft will be carbon negative by 2103,"Given common usage, companies have typically said they're ""carbon neutral"" if they offset their emissions with payments either to avoid a reduction in emissions or remove carbon from the atmosphere.",
Grounding in science and math,Microsoft will be carbon negative by 2104,But these are two very different things.,
Grounding in science and math,Microsoft will be carbon negative by 2105,"For example, one way to avoid a reduction in emissions is to pay someone not to cut down the trees on the land they own.",
Grounding in science and math,Microsoft will be carbon negative by 2106,"This is a good thing, but in effect it pays someone not to do something that would have a negative impact.",
Grounding in science and math,Microsoft will be carbon negative by 2107,It doesn't lead to planting more trees that would have a positive impact by removing carbon.,
Grounding in science and math,Microsoft will be carbon negative by 2108,"In contrast, ""net zero"" means that a company actually removes as much carbon as it emits.",
Grounding in science and math,Microsoft will be carbon negative by 2109,"The reason the phrase is ""net zero"" and not just ""zero"" is because there are still carbon emissions, but these are equal to carbon removal.",
Grounding in science and math,Microsoft will be carbon negative by 2110,"And ""carbon negative"" means that a company is removing more carbon than it emits each year.",
Grounding in science and math,Microsoft will be carbon negative by 2111,"While we at Microsoft have worked hard to be ""carbon neutral"" since 2012, our recent work has led us to conclude that this is an area where we're far better served by humility than pride.",
Grounding in science and math,Microsoft will be carbon negative by 2112,"And we believe this is true not only for ourselves, but for every business and organization on the planet.",
Grounding in science and math,Microsoft will be carbon negative by 2113,"Like most carbon-neutral companies, Microsoft has achieved carbon neutrality primarily by investing in offsets that primarily avoid emissions instead of removing carbon that has already been emitted.",
Grounding in science and math,Microsoft will be carbon negative by 2114,That's why we're shifting our focus.,
Grounding in science and math,Microsoft will be carbon negative by 2115,"In short, neutral is not enough to address the world's needs.",
Grounding in science and math,Microsoft will be carbon negative by 2116,"While it is imperative that we continue to avoid emissions, and these investments remain important, we see an acute need to begin removing carbon from the atmosphere, which we believe we can help catalyze through our investments.",
Grounding in science and math,Microsoft will be carbon negative by 2117,"In addition, we've identified another shortcoming that we and many other companies need to overcome.",
Grounding in science and math,Microsoft will be carbon negative by 2118,"Historically we've focused on Microsoft's scope 1 and 2 emissions, but other than employee travel, we haven't calculated as thoroughly our scope 3 emissions.",
Grounding in science and math,Microsoft will be carbon negative by 2119,That's why we're committing to becoming carbon negative for 2030 for all three scopes.,
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2120,"Based on this science and math, we're launching today an aggressive plan to reduce Microsoft's own carbon emissions.",
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2121,It has three broad components.,
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2122,"First, we will drive down our scope 1 and 2 emissions to near zero by the middle of this decade through the following steps:",
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2123,"By 2025, we will shift to 100 percent supply of renewable energy, meaning that we will have power purchase agreements for green energy contracted for 100 percent of carbon emitting electricity consumed by all our data centers, buildings, and campuses.",
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2124,We will electrify our global campus operations vehicle fleet by 2030.,
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2125,We will pursue International Living Future Institute Zero Carbon certification and LEED Platinum certification for our Silicon Valley Campus and Puget Sound Campus Modernization projects.,
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2126,"Second, we will reduce our scope 3 emissions by more than half by 2030 through new steps, including the following:",
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2127,"In July 2020, we will start phasing in our current internal carbon tax to cover our scope 3 emissions.",
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2128,"Currently this fee is $15/metric ton and covers all scope 1 and 2 emissions, plus scope 3 travel emissions.",
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2129,"Unlike some other companies, our internal carbon tax isn't a ""shadow fee"" that is calculated but not charged.",
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2130,"Our fee is paid by each division in our business based on its carbon emissions, and the funds are used to pay for sustainability improvements.",
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2131,"Starting in July, all our business divisions will also pay an internal carbon fee for all their scope 3 emissions.",
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2132,"We will start at a lower price per ton than our current fee for other emissions, but we will phase in increases over time until all our scope 1, 2, and 3 emissions are charged the same rate.",
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2133,This will both increase incentives across the company to reduce all scope 3 emissions and fund the added work to reduce our own scope 3 emissions and invest in carbon removal activities.,
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2134,"By July of 2021, we will begin to implement new procurement processes and tools to enable and incentivize our suppliers to reduce their scope 1, 2, and 3 emissions.",
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2135,We will work with our suppliers to implement consistent and accurate reporting and pursue effective steps to make progress against scientifically based targets.,
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2136,"Third, by 2030 Microsoft will remove more carbon than it emits, setting us on a path to remove by 2050 all the carbon the company has emitted either directly or by electrical consumption since it was founded in 1975.",
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2137,"We will achieve this through a portfolio of negative emission technologies (NET) potentially including afforestation and reforestation, soil carbon sequestration, bioenergy with carbon capture and storage (BECCs), and direct air capture (DAC).",
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2138,Microsoft will form its carbon removal portfolio annually by assessing NET attributes pertaining to four criteria: (1) scalability; (2) affordability; (3) commercial availability and (4) verifiability.,
Taking responsibility for our carbon footprint,Microsoft will be carbon negative by 2139,"Given the current state of technology and pricing, we will initially focus on nature-based solutions, with the goal of shifting to technology-based solutions between now and 2050, when they become more viable.",
Investing for new carbon reduction and removal technology,Microsoft will be carbon negative by 2140,Solving our planet's carbon issues will require technology that does not exist today. That's why a significant part of our endeavor involves putting Microsoft's balance sheet to work to stimulate and accelerate the development of carbon removal technology.,
Investing for new carbon reduction and removal technology,Microsoft will be carbon negative by 2141,Our new Climate Innovation Fund will commit to invest $1 billion over the next four years into new technologies and expand access to capital around the world to people working to solve this problem.,
Investing for new carbon reduction and removal technology,Microsoft will be carbon negative by 2142,"We understand that this is just a fraction of the investment needed, but our hope is that it spurs more governments and companies to invest in new ways as well.",
Investing for new carbon reduction and removal technology,Microsoft will be carbon negative by 2143,We will primarily deploy this capital in two areas: (1) to accelerate ongoing technology development by investing in project and debt finance; and (2) to invest in new innovations through equity and debt capital.,
Investing for new carbon reduction and removal technology,Microsoft will be carbon negative by 2144,"We'll focus our funding on investments primarily based on four criteria: (1) strategies that have the prospect of driving meaningful decarbonization, climate resilience, or other sustainability impact; (2) additional market impact in accelerating current and potential solutions; (3) relevance to Microsoft by creating technologies we can use to address our unpaid climate debt and future emissions; and (4) consideration of climate equity, including for developing economies.",
Investing for new carbon reduction and removal technology,Microsoft will be carbon negative by 2145,"In addition to this new fund, we will continue to invest in carbon monitoring and modeling projects through our AI for Earth program, which has grown over the past two years to support more than 450 grantees across more than 70 countries.",
Empowering customers around the world,Microsoft will be carbon negative by 2146,"We believe that Microsoft's most important contribution to carbon reduction will come not from our own work alone but by helping our customers around the world reduce their carbon footprints through our learnings and with the power of data science, artificial intelligence, and digital technology.",
Empowering customers around the world,Microsoft will be carbon negative by 2147,"For many customers, sustainability is already a core part of their business, while others are just beginning their work to mitigate their carbon impact.",
Empowering customers around the world,Microsoft will be carbon negative by 2148,"Regardless of where organizations are on their journey, we're committed to being of help.",
Empowering customers around the world,Microsoft will be carbon negative by 2149,Better tracking of carbon starts by creating greater transparency on the carbon impact of services and products.,
Empowering customers around the world,Microsoft will be carbon negative by 2150,"Today we're launching a new tool, the Microsoft Sustainability Calculator that analyzes the estimated emissions from Azure services through a Power BI dashboard.",
Empowering customers around the world,Microsoft will be carbon negative by 2151,"This helps customers better understand the carbon impact of their cloud workloads, discover the potential benefits from fully migrating to Azure, and assists them in reporting their carbon footprint for IT services for the often hard-to-track Scope 3 emissions.",
Empowering customers around the world,Microsoft will be carbon negative by 2152,"We will follow this with new solutions and offerings that go further, including providing insight across Scopes 1, 2 and 3 and material circularity related to all Microsoft Azure services.",
Empowering customers around the world,Microsoft will be carbon negative by 2153,"We will also provide greater transparency on the carbon performance of Teams, Edge and other services and solutions.",
Empowering customers around the world,Microsoft will be carbon negative by 2154,This work builds on a foundation of science-based methodologies and transparency on environmental performance of our cloud infrastructure and supply chain.,
Empowering customers around the world,Microsoft will be carbon negative by 2155,We are also launching a new 24/7 matching solution with Vattenfall – a first-of-its-kind approach that gives customers the ability to choose the green energy they want and ensure their consumption matches that goal using Azure IoT.,
Empowering customers around the world,Microsoft will be carbon negative by 2156,"This new level of transparency can enable users to adjust their business operations to better fit the availability of the green energy they prefer, further decreasing their carbon footprint.",
Empowering customers around the world,Microsoft will be carbon negative by 2157,We are also committed to pursuing new partnerships with our customers to address carbon reduction.,
Empowering customers around the world,Microsoft will be carbon negative by 2158,"This will include co-innovating with customers and partners to develop low-carbon solutions, as we've done with L&T Technology Services, ABB, and Johnson Controls on sustainable smart building solutions capable of reducing energy consumption by 40 percent; embedding sustainability into our strategic alliances as we've pioneered with AT&T and NTT; driving cross-industry collaborations and coalitions to develop new standards and tools.",
Empowering customers around the world,Microsoft will be carbon negative by 2159,The significance and complexity of the task ahead is incredible and will require contributions from every person and organization on the planet.,
Empowering customers around the world,Microsoft will be carbon negative by 2160,"That's why we are committed to continuing to work with all our customers, including those in the oil and gas business, to help them meet today's business demands while innovating together to achieve the business needs of a net zero carbon future.",
Empowering customers around the world,Microsoft will be carbon negative by 2161,"Continued improvement in standards of living around the world will require more energy, not less.",
Empowering customers around the world,Microsoft will be carbon negative by 2162,"It's imperative that we enable energy companies to transition, including to renewable energy and to the development and use of negative emission technologies like carbon capture and storage and direct air capture.",
Empowering customers around the world,Microsoft will be carbon negative by 2163,All this must be paired together to achieve the growing energy needs of an expanding global economy.,
Ensuring effective transparency,Microsoft will be carbon negative by 2164,"When it comes to carbon reduction, real progress requires real transparency.",
Ensuring effective transparency,Microsoft will be carbon negative by 2165,"As we're doing today, Microsoft will continue to disclose the carbon footprint of our services and solutions.",
Ensuring effective transparency,Microsoft will be carbon negative by 2166,"We will support strong industry-wide standards for transparency and reporting on carbon emissions and removal, and we will apply these ourselves.",
Ensuring effective transparency,Microsoft will be carbon negative by 2167,"Today we are also signing the United Nations' 1.5-degree Business Ambition Pledge, and we hope many other companies will also join.",
Ensuring effective transparency,Microsoft will be carbon negative by 2168,We will publicly track our progress in our annual Environmental Sustainability Report.,
Using our voice on carbon-related public policy issues,Microsoft will be carbon negative by 2169,We will also use our voice to speak out on four public policy issues that we think can advance all of the world's carbon efforts:,
Using our voice on carbon-related public policy issues,Microsoft will be carbon negative by 2170,"The need to expand global basic and applied research efforts on carbon, funded by governments, and reorient them towards targeted outcomes and enhanced cross-border collaboration to develop the breakthrough technologies needed to achieve net zero global emissions.",
Using our voice on carbon-related public policy issues,Microsoft will be carbon negative by 2171,The removal of regulatory barriers to help catalyze markets to enable carbon-reduction technologies to scale more quickly.,
Using our voice on carbon-related public policy issues,Microsoft will be carbon negative by 2172,The use of market and pricing mechanisms so people and businesses can make more informed carbon decisions.,
Using our voice on carbon-related public policy issues,Microsoft will be carbon negative by 2173,The empowerment of consumers through transparency based on universal standards to inform purchasers about the carbon content of goods and services.,
Enlisting our employees,Microsoft will be carbon negative by 2174,"Finally, we'll capitalize on the energy and intellect of our employees by inviting and encouraging them to participate in our carbon reduction and removal efforts.",
Enlisting our employees,Microsoft will be carbon negative by 2175,"As we've found with Microsoft's accessibility efforts, we believe that sustainability is a cause that is not only important to our employees, but an area where they can generate important insights and innovations across the company.",
Enlisting our employees,Microsoft will be carbon negative by 2176,"We will create more opportunities for our employees to become actively involved, both in company-wide activities and in the work of their individual teams. We're launching today an expanded internal site where our employees can learn more.",
Enlisting our employees,Microsoft will be carbon negative by 2177,Each year this work will culminate during our annual weeklong hackathon event that will include a specific focus and call for proposals on carbon reduction and removal.,
The world's next moonshot,Microsoft will be carbon negative by 2178,"Reducing carbon is where the world needs to go, and we recognize that it's what our customers and employees are asking us to pursue.",
The world's next moonshot,Microsoft will be carbon negative by 2179,This is a bold bet — a moonshot — for Microsoft.,
The world's next moonshot,Microsoft will be carbon negative by 2180,And it will need to become a moonshot for the world.,
The world's next moonshot,Microsoft will be carbon negative by 2181,It won't be easy for Microsoft to become carbon negative by 2030. But we believe it's the right goal.,
The world's next moonshot,Microsoft will be carbon negative by 2182,"And with the right commitment, it's an achievable goal.",
The world's next moonshot,Microsoft will be carbon negative by 2183,"We will need to continue to learn and adapt, both separately and even more importantly in close collaboration with others around the world.",
The world's next moonshot,Microsoft will be carbon negative by 2184,"We believe we launch this new initiative today with a well-developed plan and a clear line of sight, but we have problems to solve and technologies that need to be invented.",
The world's next moonshot,Microsoft will be carbon negative by 2185,It's time to get to work.,
Reducing GHG Emissions and Climate Change,Matson-Environment,Climate change is the most pressing environmental challenge of our time.,
Reducing GHG Emissions and Climate Change,Matson-Environment,"It is causing historic weather events, sea level rise, and other disruptions that negatively impact local communities and threaten our global economy.",
Reducing GHG Emissions and Climate Change,Matson-Environment,"Matson has established the following short-, medium- and long-term goals that reflect our commitment and contribution to helping the world decarbonize and limit climate change:",
Reducing GHG Emissions and Climate Change,Matson-Environment,"In working to meet our 2030 climate goal, we are evaluating and planning to pursue many different approaches to increasing efficiency, which may include:",
Reducing GHG Emissions and Climate Change,Matson-Environment,"Applying high performance, environmentally friendly anti-fouling or friction-reducing coatings to vessel hulls, which help reduce fuel consumption by reducing drag in the water.",
Reducing GHG Emissions and Climate Change,Matson-Environment,Deploying new engine monitoring technology to help increase fuel efficiency.,
Reducing GHG Emissions and Climate Change,Matson-Environment,Adopting technology upgrades to our vessel weather routing services to help reduce fuel consumption.,
Reducing GHG Emissions and Climate Change,Matson-Environment,"Reducing vessel speed, where possible, throughout our network.",
Reducing GHG Emissions and Climate Change,Matson-Environment,"Converting Manukai and the new Aloha and Kanaloa class vessels to operate on LNG and conventional fuels, and installing tanks that are able to accommodate future carbon-neutral fuels when commercially available.",
Reducing GHG Emissions and Climate Change,Matson-Environment,"Designing new vessels to be energy efficient, with features such as shaft generators and improved bulbous bow, hull, rudder, and propeller designs.",
Reducing GHG Emissions and Climate Change,Matson-Environment,"Using onshore electricity, when available, to power vessels when in port.",
Reducing GHG Emissions and Climate Change,Matson-Environment,Implementing more environmentally sensitive container design practices and refrigerants.,
Reducing GHG Emissions and Climate Change,Matson-Environment,Installing additional energy saving devices on vessels such as onboard LED lighting.,
Improving Air Quality,Matson-Environment,"Matson was an early adopter of ""cold ironing,"" which refers to the use of shoreside electrical power in port rather than burning diesel to keep our vessel engines running.",
Improving Air Quality,Matson-Environment,"We made modifications to our vessels serving ports in California and China to equip them to provide cold ironing, a move that is helping to reduce fuel and ultimately emissions.",
Improving Air Quality,Matson-Environment,"Nine of 12 active vessels in our domestic fleet have exhaust gas cleaning systems, or ""scrubbers,"" that virtually eliminate particulate matter and sulfur from engine exhaust.",
Improving Air Quality,Matson-Environment,"In addition, our four newest vessels are equipped with dual fuel capable engines which can run at full power on low-sulfur fuel or liquefied natural gas.",
Improving Air Quality,Matson-Environment,"Our newest Kanaloa Class vessels have Tier III engines, which are designed to meet the strictest International Maritime Organization (IMO) NOx emissions standards.",
