Label,Source,Sentence,We strive to find products in a responsible manner while working with suppliers to improve their social and environmental practices.
Human Rights ,PEPSICO,"We will continue to use our unique size and scale to advance respect for human rights throughout our value chain, prioritizing action to address our salient human rights issues.",
Community initiatives,2021-Apple-ESG,"At Apple, we are committed to leaving the world better than we found it. That means supporting communities globally with initiatives that combat inequity and expand access to opportunity.",
Community initiatives,2021-Apple-ESG,"Through efforts that address racial equity and justice, education, affordable housing, and more, we foster open communication with local community partners and stakeholders to understand dynamic challenges in order to drive meaningful impact.",
Community initiatives,2021-Apple-ESG,Apple supports these initiatives through strategic investments as well as donations to nonprofit partners.,
Community initiatives,2021-Apple-ESG,We have an urgent responsibility to help dismantle systemic racism and support opportunities for communities of color.,
Community initiatives,2021-Apple-ESG,"Our Racial Equity and Justice Initiative (REJI), launched in June 2020 and beginning in the United States, focuses on creating lasting change in three areas: expanding access to education, supporting criminal justice reform, and removing economic barriers for Black and Brown communities.",
Community initiatives,2021-Apple-ESG,"Starting with a $100 million commitment, this initiative has spurred new partnerships and projects while inspiring us to weave a focus on equity and justice into everything we do.",
Community initiatives,2021-Apple-ESG,REJI builds on our long-standing commitment to education.,
Community initiatives,2021-Apple-ESG,"We're partnering with schools in under-resourced communities to enrich their science, technology, engineering, and math (STEM) programs, and to support educators and learners with Apple technology, curriculum, and hands-on professional learning.",
Community initiatives,2021-Apple-ESG,"To deepen our engagement with historically Black colleges and universities (HBCUs) in the U.S., Apple helped launch the Propel Center, a global innovation and learning hub in Atlanta, Georgia, that offers innovation curricula, technology support, career opportunities, and fellowship programs.",
Community initiatives,2021-Apple-ESG,"In addition, we are deepening and expanding our work with new innovation grants for HBCU engineering programs, a Fellows program for educators, and academic scholarships.",
Community initiatives,2021-Apple-ESG,We support organizations that continue to challenge a justice system that disproportionately fails Black and Brown people.,
Community initiatives,2021-Apple-ESG,"These include the Equal Justice Initiative, Leadership Conference Education Fund, the King Center, and the Birmingham Civil Rights Institute.",
Community initiatives,2021-Apple-ESG,"Black founders and developers in the technology sector face systemic barriers, especially when starting and leading companies.",
Community initiatives,2021-Apple-ESG,"Programs like our Entrepreneur Camp for Black Founders and Developers give app founders and developers guidance and support from Apple experts so they can take their app experience to the next level. We're also partnering with Michigan State University to open an Apple Developer Academy in Detroit, a city with a vibrant Black entrepreneur and developer community and over 50,000 minority-owned businesses.",
Community initiatives,2021-Apple-ESG,"Our work to promote Black and Brown businesses extends to our own business activities, where we are increasing Apple's spend with diverse suppliers. Read more in Using our purchasing power for good (p43).",
Community initiatives,2021-Apple-ESG,"In January 2021, we announced two financial commitments to support Black and Brown entrepreneurs.",
Community initiatives,2021-Apple-ESG,"We are investing $10 million in Harlem Capital, an early-stage venture capital firm based in New York with a mission to support 1000 diverse founders over the next 20 years.",
Community initiatives,2021-Apple-ESG,"And Apple is investing $25 million in Siebert Williams Shank's Clear Vision Impact Fund, increasing loan capital for small- and medium-sized minority-owned businesses and underserved communities.",
Community initiatives,2021-Apple-ESG,"In May 2021, building on these two commitments, we supported VamosVentures, a Latinx-owned fund investing in technology-enabled companies led by Latinx and diverse founders, and Collab Capital, which aims to decrease the racial wealth gap by helping Black-founded businesses overcome the funding and network challenges that often stifle their growth.",
Community initiatives,2021-Apple-ESG,"To ensure that our work to protect the planet also enhances equity, we launched an Impact Accelerator for Black- and Brown-owned businesses.",
Community initiatives,2021-Apple-ESG,Read more about Apple's Impact Accelerator (p9).,
Community initiatives,2021-Apple-ESG,"We believe access to education is a human right, and that everyone has their own way of learning and expressing themselves. We work hard to ensure our resources are used to uplift communities around the world, creating opportunities for educators and students to gain coding skills and unlock creativity.",
Community initiatives,2021-Apple-ESG,"Inspired by the impact of our ConnectED initiative and programs like Everyone Can Create and Everyone Can Code, we launched CEI in 2019 with a focus on expanding learning opportunities in communities that are traditionally underrepresented and under-resourced in technology.",
Community initiatives,2021-Apple-ESG,"Through educational partnerships across the U.S., we've been able to reach tens of thousands of students and educators who might not have had access to our technology and education tools.",
Community initiatives,2021-Apple-ESG,"CEI partners with K–12 and higher education institutions, community-based organizations, and nonprofits to bring coding, creativity, and workforce development opportunities to educators and learners of all ages.",
Community initiatives,2021-Apple-ESG,"CEI aims to build knowledge and skills for high-demand, high-growth technical careers alongside communities of color to advance educational equity.",
Community initiatives,2021-Apple-ESG,"Our support includes hardware grants, monetary grants to support scholarships and programming, resources for educator training, curriculum development, and employee engagement opportunities.",
Community initiatives,2021-Apple-ESG,"After starting with 10 communities in 2019, we are now working in dozens of locations around the U.S.—including with 36 HBCUs—to create more coding, creativity, and other learning opportunities. Grounded in the positive relationships that we have created, we are working to deepen our impact in three areas:",
Community initiatives,2021-Apple-ESG,"We're providing educator development and training opportunities to build the knowledge and skills educators need to teach coding in underrepresented communities through Teacher Coding Academies and the CEI Learning Series, in which hundreds of teachers from around the U.S. can meet virtually to share best practices on remote learning.",
Community initiatives,2021-Apple-ESG,"Through our Academies and CEI Learning Series, we are connecting CEI educators with Apple Distinguished Educators from all around the world.",
Community initiatives,2021-Apple-ESG,"Apple Distinguished Educators lead and participate in learning workshops, along with our Apple Professional Learning Specialists.",
Community initiatives,2021-Apple-ESG,"We're partnering with nonprofits, NGOs, and community-based organizations that provide out-of-school-time learning experiences.",
Community initiatives,2021-Apple-ESG,"We're especially focused on expanding our engagement with minority-serving institutions, including HBCUs, HSIs, and tribal colleges and universities, as well as community colleges and public schools in underserved communities.",
Community initiatives,2021-Apple-ESG,"As the app economy continues to grow, we're investing in educational programs and opportunities that prepare learners of all ages for the jobs of the future.",
Community initiatives,2021-Apple-ESG,"The Apple Developer Academy partners with educational institutions to create an immersive 10- to 12-month program that enables up-and-coming developers to apply the latest technologies, build their businesses, and market their ideas globally.",
Community initiatives,2021-Apple-ESG,"In 2013, we started the Apple Developer Academy to empower entrepreneurs, creators, and coders by helping them cultivate the skills necessary to pursue new career opportunities. The program focuses on communities with high youth unemployment and is open to anyone, regardless of academic background or experience. The program also seeks to attract women to software development, a field where they're grossly underrepresented.",
Community initiatives,2021-Apple-ESG,"In seven years, participation among women in the Apple Developer Academy has grown from 6 to 36 percent.",
Community initiatives,2021-Apple-ESG,"Currently available in several countries, Apple Developer Academy consists of:",
Community initiatives,2021-Apple-ESG,A 30-day introductory program designed for learners considering app economy careers and looking to better understand what it means to be a developer.,
Community initiatives,2021-Apple-ESG,"This program plays a critical role in sparking interest among the next generation of developers and bringing diverse representation to the growing app ecosystem, particularly among women and individuals from underrepresented communities.",
Community initiatives,2021-Apple-ESG,An intensive 10- to 12-month program that helps aspiring developers build the skills needed to participate in opportunities within the app economy and even start their own businesses.,
Community initiatives,2021-Apple-ESG,"In addition to partnering with institutions, the Academy works closely with employers to provide direct pathways to career opportunities.",
Community initiatives,2021-Apple-ESG,Our 22 Foundation Programs and 17 Academies include close collaborations with institutions that provide content and experience opportunities.,
Community initiatives,2021-Apple-ESG,Research shows that female and Black business founders and leaders face specific challenges in the technology sector.,
Community initiatives,2021-Apple-ESG,"That's why we created Apple Entrepreneur Camp, an immersive tech lab for app-driven companies founded and led by developers from underrepresented backgrounds. The camp offers one-on-one guidance from Apple experts and engineers, mentorship from Apple leaders, and ongoing support through a growing alumni community.",
Community initiatives,2021-Apple-ESG,"Apple held its first-ever Entrepreneur Camp in 2019 with a class of women founders and developers. As part of our ongoing commitment to dismantle barriers to opportunity, in early 2021 we welcomed leaders and their teams from 13 app companies as the inaugural cohort of our Entrepreneur Camp for Black Founders and Developers.",
Community initiatives,2021-Apple-ESG,"Through our Affordable Housing Initiative, announced in 2019, we have made a comprehensive $2.5 billion commitment to address the housing availability and affordability crisis in California.",
Community initiatives,2021-Apple-ESG,"Together with government and community-based organizations, the initiative has sought to jump-start long-term developments, help first-time buyers purchase homes, and support new housing and related programs to alleviate homelessness.",
Community initiatives,2021-Apple-ESG,"To date, we have deployed more than $1 billion supporting projects and communities in more than 25 counties across California.",
Community initiatives,2021-Apple-ESG,"As of July 2021, Apple has deployed more than $1 billion toward affordable housing projects and homeowner assistance programs in California this year, including this Charities Housing Development Corporation project in San Jose, financed in partnership with Housing Trust Silicon Valley..",
Community initiatives,2021-Apple-ESG,"In partnership with the California Housing Finance Agency (CalHFA), Apple has provided mortgage and down payment assistance to thousands of first-time buyers with low and moderate incomes, with additional benefits for teachers, veterans, and firefighters.",
Community initiatives,2021-Apple-ESG,"Apple has also partnered with CalHFA to launch an affordable housing investment program, the first of its kind in California, which has increased the availability of funding to develop and build very low- to moderate-income housing at a lower cost.",
Community initiatives,2021-Apple-ESG,And we are supporting several new affordable housing projects funded through our partnership with the Housing Trust Silicon Valley.,
Community initiatives,2021-Apple-ESG,"Many of the new units are reserved for veterans, the homeless or formerly homeless, and residents with developmental disabilities.",
Community initiatives,2021-Apple-ESG,"Apple's Affordable Housing Initiative also includes a partnership with Destination: Home, which has helped fund the construction of thousands of new units of affordable and supportive housing for the most vulnerable populations across Silicon Valley. With our support, Destination: Home has also been able to expand its Homelessness Prevention System to keep thousands of families from losing their homes each year.",
Community investments,2021-Apple-ESG,We invest in communities through donations to nonprofit organizations as well as through strategic investments.,
Community investments,2021-Apple-ESG,"Over the past three years, we've committed over $3 billion toward donations and values-focused investments such as our Affordable Housing Initiative, REJI, clean energy investments, and the Apple Restore Fund.",
Community investments,2021-Apple-ESG,Strategic investments are often multiyear commitments in which Apple plays a substantive role in the project development.,
Community investments,2021-Apple-ESG,"We see an important opportunity to continue to invest our capital for good. While donations and investments are accounted for separately, we undertake both with one common goal: to create meaningful change in communities around the world.",
Community investments,2021-Apple-ESG,Our corporate donations seek to accelerate social change by supporting organizations that are addressing society's toughest problems. We empower employees to contribute to the causes they care about by amplifying their efforts through matching their donations.,
Community investments,2021-Apple-ESG,"Our swift response to the COVID-19 crisis, which included over $120 million23 in donations, is a reflection of our commitment to being a source of relief and recovery in the face of global challenges.",
Community investments,2021-Apple-ESG,"Since fiscal year 2015, Apple has donated over $1 billion24 to create positive change in communities across the globe.",
Community investments,2021-Apple-ESG,"Whether it's racial injustice, food insecurity, a natural disaster, or a health emergency, our community giving program is agile enough to allow us to respond in a timely, efficient, and effective way.",
Community investments,2021-Apple-ESG,"We support nonprofit organizations in a variety of ways, including financial resources and Apple technology and expertise from our teams.",
Community investments,2021-Apple-ESG,We have designed our corporate donations to address immediate needs and to build community resilience.,
Community investments,2021-Apple-ESG,"Recent work includes launching our REJI commitment to further racial equity and justice, donating to the COVID-19 response, including financial support and helping to source PPE, and addressing housing scarcity and homelessness in California through our Affordable Housing Initiative",
Community investments,2021-Apple-ESG,"In 2006, Apple joined (RED)'s mission to end the HIV/AIDS epidemic in sub-Saharan Africa, and over the last 14 years our partnership has delivered almost $250 million in donations for the Global Fund's HIV/AIDS programs for prevention, testing, and counseling.",
Community investments,2021-Apple-ESG,"Since 2006, Apple-supported grants have provided over 10.8 million people with care and support services, helped distribute more than 167 million HIV tests, and provided 13.8 million people with ongoing access to life-saving antiretroviral treatment. COVID-19 has created challenges in accessing care, diagnostics, and supplies, often disrupting crucial HIV/ AIDS programs.",
Community investments,2021-Apple-ESG,"At the onset of the pandemic, contributions to (RED) were redirected to the Global Fund's COVID-19 Response to help alleviate the impact of the virus on the communities most affected by HIV/AIDS and provide critical support in health systems threatened by the outbreak.",
Community investments,2021-Apple-ESG,We believe we can have an impact on communities by supporting grassroots organizations that work directly with local stakeholders.,
Community investments,2021-Apple-ESG,We focus our donations on programs that are building strong communities and empowering creatives in the places where we live and work.,
Community investments,2021-Apple-ESG,"Over the past several years, Apple has offered more than 70 small grants across 12 countries—broadening our impact and bolstering essential community work around the world.",
Community investments,2021-Apple-ESG,"The grants provide support for museums, music programs, art and technology education, and storytelling organizations.",
Community investments,2021-Apple-ESG,"In partnership with Today at Apple and local community groups, we launched Today at Apple Creative Studios, a global program to develop the creative skills of young people from underinvested communities in 11 cities, with 23 nonprofit partners.",
Community investments,2021-Apple-ESG,We are always looking for ways to support efforts that align with our Apple values.,
Community investments,2021-Apple-ESG,"In 2018, Apple became Malala Fund's first Laureate partner, supporting the organization's work with local advocates and teachers in eight countries where girls face significant education challenges.",
Community investments,2021-Apple-ESG,"The Fund champions every girl's right to 12 years of safe, free, quality education. Apple also assists with technology, curriculum, and research into policy changes related to girls' education.",
Community investments,2021-Apple-ESG,"The partnership has since expanded, and in Brazil Apple's 10 Developer Academies now work with Malala Fund to further advance girls' education opportunities. Since engaging in this powerful partnership, Apple has committed to donating more than $15 million to the Fund.",
Community investments,2021-Apple-ESG,"Formerly titled Made In Grand Paris, this Apple program was a partnership in February 2021 with 1000 visages, an organization dedicated to bringing film industry opportunities to youth from underrepresented communities in France.",
Community investments,2021-Apple-ESG,"With the support of an Apple grant, 1000 visages will extend its curriculum over the next three years and secure a permanent space to launch a free cinema school.",
Community investments,2021-Apple-ESG,"They are equipped with iPhone, iPad, and Mac hardware and accessories so they can provide ongoing support to their young members by lending out these creative kits.",
Community investments,2021-Apple-ESG,Our Today at Apple Creative Pro team across France will also deliver annual dedicated sessions to support youth in their creative film projects.,
Community investments,2021-Apple-ESG,"To continue promoting diversity across the tech sector, Apple has long-standing commitments with Thurgood Marshall College Fund (TMCF) and the National Center for Women & Information Technology (NCWIT), among others. The Apple Scholars program provides scholarships and mentorship to students from underrepresented backgrounds.",
Community investments,2021-Apple-ESG,"In partnership with TMCF, this year Apple welcomed its sixth cohort of Apple HBCU Scholar interns, representing students from nearly 20 HBCUs.",
Community investments,2021-Apple-ESG,Our partnership with TMCF was announced in 2015 as a $40 million multiyear commitment.,
Community investments,2021-Apple-ESG,"Through donations, Apple works with a diverse set of partners to enhance environmental protections and support global communities.",
Community investments,2021-Apple-ESG,"For example, for the launch of the Apple TV+ documentary The Elephant Queen, Apple partnered with Conservation International and Save the Elephants to support community-based elephant conservation in Kenya—including improved elephant tracking and the Reteti Elephant Sanctuary.",
Community investments,2021-Apple-ESG,Apple also celebrated the 104th birthday of the national parks with a donation to the National Park Foundation.,
Community investments,2021-Apple-ESG,"With support from Apple, the National Park Foundation's youth programs have given thousands of young people the chance to learn about and experience the parks through school activities, trips, and service corps programs.",
Community investments,2021-Apple-ESG,"These programs include efforts to expand access to education, bring youth from underserved communities into the parks, and recruit interns from HBCUs.",
Community investments,2021-Apple-ESG,Our Employee Giving program provides opportunities for employees to contribute to the causes they care deeply about with the support of Apple.,
Community investments,2021-Apple-ESG,"From volunteering to donations to smaller individual actions, Apple is committed to giving, hand in hand with our team members.",
Community investments,2021-Apple-ESG,"Our program promotes charitable giving to qualified organizations by matching donations of time, money, or Apple products.",
Community investments,2021-Apple-ESG,"Since the program's inception in 2011, Apple employees have helped raise nearly $600 million in total donations across 34,000 organizations, and volunteered more than 1.6 million hours.",
Community investments,2021-Apple-ESG,Apple matches $25 per hour volunteered with a qualified organization.,
Community investments,2021-Apple-ESG,"Some of the ways employees give their time include lending skills in person or online, mentoring youth, and participating in outdoor cleanups or other local events with nonprofit organizations.",
Community investments,2021-Apple-ESG,"When our employees donate money, Apple matches their donations.",
Community investments,2021-Apple-ESG,"That way, every contribution goes further, every act inspires another, and every effort is amplified. Apple matches donations year-round, but in times of greater need, we have often increased the match cap up to $20,000 per employee.",
Labor and Human Rights Policies & Education,2020-SAMSUNG ELECTRONICS-Sustainability,"We have established a robust set of labor and human rights policies based on: Universal Declaration of Human Rights, the United Nations Guiding Principles on Business and Human Rights (UNGPs); Organization for Economic Co-operation and Development (OECD) Guidelines for Multinational Enterprises; UN Convention on the Rights of the Child (UNCRC); International Labour Organization (ILO) Declaration on Fundamental Principles and Rights at Work; the ILO Core Conventions.",
Labor and Human Rights Policies & Education,2020-SAMSUNG ELECTRONICS-Sustainability,We abide by the Code of Conduct of the Responsible Business Alliance (RBA) and comply with the laws and regulations of the countries where we conduct our business.,
Labor and Human Rights Policies & Education,2020-SAMSUNG ELECTRONICS-Sustainability,"To protect labor and human rights, we have established various policies and regularly evaluate our compliance status and explore ways to enhance our policies.",
Labor and Human Rights Policies & Education,2020-SAMSUNG ELECTRONICS-Sustainability,"In addition, we strive to protect the human rights of vulnerable groups, such as children and juvenile workers, migrant workers, and apprentices.",
Labor and Human Rights Policies & Education,2020-SAMSUNG ELECTRONICS-Sustainability,"Furthermore, in the United Kingdom, we comply with the United Kingdom's Modern Slavery Act 2015 and issue a dedicated statement of compliance every year.",
Labor and Human Rights Policies & Education,2020-SAMSUNG ELECTRONICS-Sustainability,We are also taking reference to this law to prevent forced labor and human trafficking at our and our suppliers' worksites and strengthening our managerial system and stakeholder engagement in other countries as well.,
Labor and Human Rights Policies & Education,2020-SAMSUNG ELECTRONICS-Sustainability,"To comply with our labor and human rights policies and raise employees' awareness, we have developed training programs tailored to the characteristics of workplaces and are strengthening our regular training for our employees every year.",
Labor and Human Rights Policies & Education,2020-SAMSUNG ELECTRONICS-Sustainability,"In 2019, 96% of employees at overseas production subsidiaries and 100% of employees in South Korea completed training programs.",
Labor and Human Rights Policies & Education,2020-SAMSUNG ELECTRONICS-Sustainability,"We especially strengthened our training program in South Korea with modules on anti-discrimination, bullying, and sexual harassment in the workplace.",
Labor and Human Rights Policies & Education,2020-SAMSUNG ELECTRONICS-Sustainability,"In cooperation with external stakeholders, we provided special training on protecting vulnerable groups such as migrant workers.",
Labor and Human Rights Policies & Education,2020-SAMSUNG ELECTRONICS-Sustainability,"In 2020, we will launch a new developed labor and human rights training program in collaboration with Business for Social Responsibility (BSR) for all our employees, including those in production worker, supervisors, and management.",
Labor and Human Rights Policies & Education,2020-SAMSUNG ELECTRONICS-Sustainability,"This training contains different content according to employee job position and function, but all programs aim to address all labor and human rights topics including what labor and human rights employees naturally have, why labor and human rights matter to business, what our company's and employees' responsibilities are for respecting labor and human rights, and how to bring labor and human rights into practice.",
Labor and Human Rights Policies & Education,2020-SAMSUNG ELECTRONICS-Sustainability,"In Malaysia and Hungary, together with the International Organization for Migration (IOM), we trained our human resource personnel, as well as those from our suppliers and recruitment agencies, on the ethical recruitment of migrant workers.",
Labor and Human Rights Policies & Education,2020-SAMSUNG ELECTRONICS-Sustainability,"Through this, we were able to raise awareness on protecting the rights of migrant workers and share the importance of eradicating forced labor.",
Labor and Human Rights Policies & Education,2020-SAMSUNG ELECTRONICS-Sustainability,"As a global company, we seek to continuously strengthen the capabilities of female employees.",
Labor and Human Rights Policies & Education,2020-SAMSUNG ELECTRONICS-Sustainability,"In Indonesia, along with the Indonesia Business Coalition for Women Empowerment (IBCWE), an implementing partner of ILO, we provided female employees with the Mind-Set training module of STEM education program developed by ILO to strengthen their capabilities.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,Our Global Labor Issues (GLI) Committee manages the impacts and risks on labor and human rights.,
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"The GLI Committee, which convenes bi-weekly to discuss labor and human rights issues, consists of executives and working-level employees from five functions (Human Resources Team, Legal Office, Partner Collaboration Center, Global Public Affairs Team, Global EHS Center).",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"Any important matters are escalated to the Sustainability Council, which consists of key executives, and then reported to top management.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,We operate a system that identifies and monitors factors that can affect employees' labor and human rights through a range of internal and external channels.,
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"Our worksite monitoring system supports the enforcement of labor and human rights and compliance management in areas such as working environment, workplace culture, operation of representative bodies, and management of suppliers.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"The system, provided in 12 languages, including English, Chinese, Vietnamese, and Spanish, evaluates 55 items in seven areas¹⁾ every year, and is instrumental in identifying worksites that need in-house expert consultation to strengthen capacity and make improvements.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,We listen to our employees and understand their needs and concerns about labor and human rights through a variety of communication channels.,
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"In 2019, for example, we held 30 top management-led Townhall meetings, which were attended by 14,260 employees¹⁾ in South Korea.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,Attendants were informed of business updates and participated in a question and answer session with the management on various agenda including work environment and benefits.,
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"Outside of South Korea, heads of subsidiaries hosted 236 similar sessions, where 77,329 employees attended.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"In addition, we encourage our department heads to meet frequently with team members to discuss matters related to their work relationships and career development.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"A total of 766 meetings were held and 21,182 employees attended¹⁾.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"To identify labor and human rights risk factors that could impact our worksites around the world, it is also important to engage with our external stakeholders.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"To do this, we engage in regular dialogue with governments, academia and civil society.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"In 2018, we hired international experts in human rights to identify key issues in labor rights while listening to independent specialists' advice, which further strengthened our stakeholder communication.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,We periodically evaluate the level of labor and human rights compliance and monitor improvement activities.,
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,Every year we use our workplace monitoring system to identify those worksites which are considered high-risk and then conduct a detailed analysis of each of them.,
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"In 2019, we performed assessments in six locations, including two in Southeast Asia and one in Europe.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"As a result, a total of 99 tasks that required improvements were identified, of which 82 tasks (82.8%) were completed.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"As a member of the Responsible Business Alliance (RBA), we apply their Code of Conduct across our businesses and our supply chain.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"We use the RBA on-site audit protocols to identify the working environment risks in labor, health and safety, environment, business ethics, and management system so we can implement corrective action plans.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"In 2019, we worked with RBA approved auditing firms to assess compliance with local labor laws and RBA assessment standards at ten production sites in four countries.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"As a result, two worksites in Brazil - Campinas and Manaus - received the RBA ""One Star"" Award for the first time among our production sites.",
Labor and Human Rights Impact & Risk Management,2020-SAMSUNG ELECTRONICS-Sustainability,"Three requirements for the Award are a minimum of silver grade¹⁾ from an RBA-VAP (Validated Assessment Program) on-site audit, a fully functioning workers forum operated by the worksite, and having trained one or more RBA Certified Factory Lead.",
Human Rights,Trane,Trane Technologies complies with local human rights laws and regulations at its remote and physical worksites around the world.,
Human Rights,Trane,We are committed to operating with integrity and protecting the fundamental rights of people associated with our business.,
Human Rights,Trane,"Our detailed Global Human Rights Policy prohibits child labor, forced labor, discrimination, and harassment in the workplace.",
Human Rights,Trane,"Our policy also addresses freedom of association, work environment standards, compensation, and employee privacy.",
Human Rights,Trane,"An internal team of Legal and Human Resources executives — including the Vice President of Diversity and Inclusion, Vice President of Labor and Employment, and Vice President of Global Compliance — own the Global Human Rights Policy.",
Human Rights,Trane,"In 2021, we updated our Global Human Rights Policy to reaffirm our commitment to fair working conditions and strengthen the connection between our practices and policy actions.",
Human Rights,Trane,"In a bold, industry-leading step, our Chair and CEO, Dave Regnery, signed the policy, demonstrating the importance of protecting human rights in the Trane Technologies value chain.",
Human Rights,Trane,Our policy aligns with the stringent standards set forth by the International Labor Organization's (ILO) Declaration on Fundamental Principles and Rights at Work and the United Nations Universal Declaration of Human Rights.,
Human Rights,Trane,"The policy includes our Modern-Slavery and Human-Trafficking Statement, guided by ILO conventions 29 and 105, and outlines our steps to ensure compliance. We further address child labor with the guidance of ILO convention 138.",
Human Rights,Trane,"As a global company, we engage with suppliers and partners worldwide. Our Business Partner Code of Conduct (BPCoC) applies to all entities we work with to deliver our products and services.",
Human Rights,Trane,"The BPCoC communicates our high operational expectations regarding legal, moral, and ethical standards when conducting our affairs. Our BPCoC is available in nine languages to ensure accessibility for our global partners.",
Human Rights,Trane,We define our relationship with suppliers by contracts based on legal and ethical practices.,
Human Rights,Trane,Trane Technologies' contracts contain standard agreements that require suppliers to comply with our BPCoC and uphold fundamental human rights.,
Human Rights,Trane,"In 2021, we assessed 209 suppliers for environmental impacts.",
Human Rights,Trane,Trane Technologies did not identify any suppliers as having significant actual or potential negative environmental impacts.,
Human Rights,Trane,We engage in risk-based due diligence of our business partners and suppliers to ensure compliance with international trade laws and regulations. Gathering Code of Conduct and BPCoC adherence information also helps us assess and improve our human rights policies.,
Human Rights,Trane,"Our workforce receives training on human rights through our Code of Conduct training, which includes a course on anti-human trafficking.",
Human Rights,Trane,"Salaried team members in Legal, Human Resources, and Global Integrated Supply Chain also attend a training course on anti-human trafficking based on their job function and associated risks.",
Human Rights,Trane,"We conducted 7,054 hours of Code of Conduct and 325 hours of anti-human trafficking training in 2021.",
Human Rights,Trane,Trane Technologies is an Equal Employment Opportunity employer in the U.S.,
Human Rights,Trane,"We provide opportunities regardless of race, sex, color, national origin, creed, religion, pregnancy, age, disability, military/veteran status, sexual orientation, gender identity, genetic information, marital status, or any legally protected status.",
Human Rights,Trane,"We adhere to this policy regarding employment, promotion, demotion, transfer, recruitment or recruitment advertising, layoff or termination, rates of pay, or other forms of compensation and benefits.",
Human Rights,Trane,"We also enforce it in selections for training, including apprenticeships and additional terms or conditions of employment.",
Human Rights,Trane,"At Trane Technologies, we follow a strict anti-harassment policy, and we expect the same from our business partners.",
Human Rights,Trane,We consider this standard ever more critical as shifting demographics reshape the global workforce.,
Human Rights,Trane,"To help foster an inclusive workplace, we train 100% of our global salaried team members annually on anti-harassment.",
Human Rights,Trane,We make our policies and training available to team members through our company intranet and include relevant information based on team member location.,
Human Rights,Trane,We expect our team members and business partners worldwide to remove systemic barriers to professional opportunities.,
Matching grants,Adobe-Community Relations,Our employees are a generous bunch.,
Matching grants,Adobe-Community Relations,"When they give money to eligible nonprofits and schools, we match their donations up to US$10,000 per year.",
Matching grants,Adobe-Community Relations,We also donate $25 for every hour they volunteer.,
Volunteering,Adobe-Community Relations,Adobe Action Teams coordinate volunteer activities at more than two dozen Adobe locations.,
Volunteering,Adobe-Community Relations,Our Create Change Days offer more ways for employees to help out in their local communities.,
Volunteering,Adobe-Community Relations,"And in 2020, our employees have given back at record levels as virtual volunteers.",
Employee Community Fund (ECF),Adobe-Community Relations,Each year Adobe employees come together to choose causes that matter to them and invite local nonprofits to apply for grants.,
Employee Community Fund (ECF),Adobe-Community Relations,"In 2019, our grant-makers awarded $4M to 200 nonprofits.",
Pro Bono initiative,Adobe-Community Relations,"When employees volunteer their technology, design, and marketing skills to nonprofits, they help our communities and develop their own expertise and leadership.",
Pro Bono initiative,Adobe-Community Relations,"In 2019, they donated the equivalent of $1,278,000 in professional services.",
Board Service program,Adobe-Community Relations,"We train employees to become effective members of boards of directors for community organizations, where they provide leadership and fundraising.",
Board Service program,Adobe-Community Relations,"In 2019, over 350 employees served on boards or completed our training program, resulting in $1.5M in grants to 208 charities.",
Mentoring,Adobe-Community Relations,Our employees help others master new career skills through Adobe Digital Academy as well as organizations promoting youth mentoring and college preparedness.,
Human rights,glencore,We are committed to respecting human rights in line with the United Nations (UN) Guiding Principles on Business and Human Rights.,
